	Rumpun Ilmu	Rumpun Ilmu (Bahasa Inggris)	Pohon Ilmu	Pohon Ilmu (Bahasa Inggris)	Cabang Ilmu	Cabang Ilmu (Bahasa Inggris)
1	RUMPUN ILMU ALAM	NATURAL SCIENCES	ASTRONOMI	ASTRONOMY	ILMU ATAU SAINS ATMOSFER DAN KEPLANETAN	ATMOSPHERIC AND PLANETARY SCIENCE
2	RUMPUN ILMU ALAM	NATURAL SCIENCES	ASTRONOMI	ASTRONOMY	ASTRONOMI	ASTRONOMY
3	RUMPUN ILMU ALAM	NATURAL SCIENCES	BIOFISIKA	BIOPHYSICS	BIOFISIKA	BIOPHYSICS
4	RUMPUN ILMU ALAM	NATURAL SCIENCES	BIOLOGI	BIOLOGY	BIOLOGI TUMBUHAN	PLANT BIOLOGY
5	RUMPUN ILMU ALAM	NATURAL SCIENCES	BIOLOGI	BIOLOGY	BIOLOGI REPRODUKSI	REPRODUCTIVE BIOLOGY
6	RUMPUN ILMU ALAM	NATURAL SCIENCES	BIOLOGI	BIOLOGY	PRIMATOLOGI	PRIMATOLOGY
7	RUMPUN ILMU ALAM	NATURAL SCIENCES	BIOLOGI	BIOLOGY	MIKROBIOLOGI MEDIS	MEDICAL MICROBIOLOGY
8	RUMPUN ILMU ALAM	NATURAL SCIENCES	BIOLOGI	BIOLOGY	MIKROBIOLOGI	MICROBIOLOGY
9	RUMPUN ILMU ALAM	NATURAL SCIENCES	BIOLOGI	BIOLOGY	ENTOMOLOGI PERMUKIMAN	URBAN ENTOMOLOGY
10	RUMPUN ILMU ALAM	NATURAL SCIENCES	BIOLOGI	BIOLOGY	ENTOMOLOGI	ENTOMOLOGY
11	RUMPUN ILMU ALAM	NATURAL SCIENCES	BIOLOGI	BIOLOGY	BIOLOGI PERKEMBANGAN HEWAN	ANIMAL DEVELOPMENTAL BIOLOGY
12	RUMPUN ILMU ALAM	NATURAL SCIENCES	BIOLOGI	BIOLOGY	BIOLOGI TERAPAN	APPLIED BIOLOGY
13	RUMPUN ILMU ALAM	NATURAL SCIENCES	BIOLOGI	BIOLOGY	BIOLOGI	BIOLOGY
14	RUMPUN ILMU ALAM	NATURAL SCIENCES	FISIKA	PHYSICS	FISIKA	PHYSICS
15	RUMPUN ILMU ALAM	NATURAL SCIENCES	FISIKA	PHYSICS	FISIKA MEDIS	MEDICAL PHYSICS
16	RUMPUN ILMU ALAM	NATURAL SCIENCES	ILMU ATAU SAINS KEBUMIAN	EARTH SCIENCE	OSEANOGRAFI	OCEANOGRAPHY
17	RUMPUN ILMU ALAM	NATURAL SCIENCES	ILMU ATAU SAINS KEBUMIAN	EARTH SCIENCE	HIDROGEOLOGI	HYDROGEOLOGY
18	RUMPUN ILMU ALAM	NATURAL SCIENCES	ILMU ATAU SAINS KEBUMIAN	EARTH SCIENCE	GEOLOGI	GEOLOGY
19	RUMPUN ILMU ALAM	NATURAL SCIENCES	ILMU ATAU SAINS KEBUMIAN	EARTH SCIENCE	METEOROLOGI	METEOROLOGY
